XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
19.75,32.0,23.54538917541504,31.375,43.9375,26.578125,33.703125,30.1875,24.71875
19.96875,32.3125,23.126522064208984,31.171875,41.625,27.1875,33.875,29.9375,25.0
19.6875,31.96875,23.29153060913086,31.375,41.015625,27.21875,34.0625,28.5625,24.03125
19.40625,32.0625,23.037673950195312,30.65625,38.75,27.359375,34.125,28.453125,22.921875
19.484375,31.8125,22.49187660217285,30.09375,38.625,26.546875,34.28125,27.84375,23.5625
19.640625,32.0,22.618806838989258,30.6875,40.71875,26.875,33.6875,28.515625,24.265625
19.75,32.625,22.441104888916016,30.75,41.0,26.9375,33.65625,28.65625,24.5
19.15625,32.75,22.364946365356445,30.90625,39.6875,27.0,34.046875,28.3125,24.234375
19.140625,32.484375,22.187246322631836,30.78125,40.0,27.0,33.53125,28.125,24.21875
18.921875,32.328125,21.52721405029297,30.34375,38.375,26.921875,33.859375,27.96875,23.625
18.765625,33.0625,21.577985763549805,30.71875,38.5625,27.375,33.53125,27.3125,23.4375
18.75,32.53125,21.057575225830078,30.21875,37.15625,27.28125,33.78125,27.046875,23.1875
19.0,33.0,21.209890365600586,30.71875,38.625,27.0,33.71875,27.171875,23.34375
19.0,32.734375,21.501827239990234,30.78125,38.40625,27.546875,33.484375,27.34375,24.1875
19.03125,32.703125,21.730300903320312,30.390625,36.859375,27.84375,33.96875,27.0,24.09375
19.46875,31.265625,22.263404846191406,30.640625,36.6875,28.125,34.1875,27.0625,24.4375
19.265625,30.203125,22.1618595123291,30.1875,34.75,27.640625,34.140625,26.8125,23.96875
19.90625,30.875,22.034931182861328,30.453125,35.203125,27.234375,33.484375,27.0,24.0
20.96875,31.40625,21.933387756347656,31.28125,35.0,27.75,33.84375,27.015625,24.90625
21.125,30.75,22.847278594970703,32.421875,38.3125,27.53125,34.0625,27.71875,25.5
20.65625,30.5,22.74573516845703,31.78125,37.25,27.0,34.1875,28.015625,25.34375
20.03125,31.0,22.796506881713867,31.6875,36.015625,27.390625,34.171875,27.546875,25.0
20.375,30.984375,23.456539154052734,32.234375,37.6875,27.28125,33.34375,28.140625,25.265625
20.375,31.078125,23.64693260192871,32.59375,39.109375,26.90625,33.4375,28.4375,24.953125
20.28125,31.4375,23.36768913269043,32.109375,38.3125,27.015625,33.53125,28.5,25.0
20.4375,31.5,23.380382537841797,31.546875,36.6875,27.625,34.359375,28.65625,24.5
20.25,30.53125,22.707656860351562,30.875,36.125,27.421875,34.15625,28.40625,24.421875
19.96875,30.796875,22.52995491027832,30.25,34.6875,27.21875,33.625,27.6875,23.71875
19.75,31.75,23.189987182617188,30.8125,34.0,27.375,33.3125,27.53125,24.234375
20.375,32.296875,22.936128616333008,30.28125,33.0,27.640625,32.15625,27.5625,23.65625
19.609375,31.34375,22.720348358154297,29.28125,30.53125,27.703125,31.859375,26.3125,23.375
20.3125,31.578125,23.25345230102539,29.453125,30.625,27.609375,31.671875,26.5,24.09375
21.359375,32.0,23.443845748901367,30.15625,32.734375,27.5,32.171875,26.953125,24.5
21.296875,33.34375,23.862712860107422,30.5,32.1875,28.046875,33.078125,27.0,24.03125
21.640625,33.3125,24.01502799987793,31.0,32.5,28.234375,33.078125,27.09375,25.1875
21.84375,33.859375,24.256193161010742,31.453125,32.34375,28.65625,32.8125,27.5625,25.5
21.421875,33.1875,23.964256286621094,31.25,31.3125,28.5625,33.1875,27.25,25.59375
21.0,33.265625,23.29153060913086,29.859375,29.5,28.1875,32.6875,26.140625,25.546875
21.125,32.25,24.548131942749023,31.15625,34.25,26.890625,32.0,28.203125,27.5625
21.828125,31.25,24.1165714263916,31.40625,34.59375,25.828125,31.5,29.03125,27.953125
21.375,31.921875,23.608854293823242,30.5,32.5,26.0,31.1875,28.25,27.03125
21.4375,31.8125,23.36768913269043,30.25,32.40625,26.171875,31.65625,27.84375,26.671875
20.5625,31.171875,22.97420883178711,30.34375,33.125,26.453125,31.796875,28.1875,26.453125
20.75,31.375,23.354995727539062,30.625,34.125,26.296875,31.71875,28.40625,26.625
20.1875,31.71875,23.4057674407959,31.0,35.5625,25.78125,30.984375,29.046875,26.859375
19.71875,31.515625,22.961515426635742,30.90625,35.03125,25.75,31.21875,29.4375,26.84375
20.375,31.5,23.36768913269043,31.203125,34.625,26.109375,30.71875,29.75,27.46875
20.265625,31.34375,23.4057674407959,31.15625,35.6875,25.8125,30.796875,29.96875,27.09375
20.15625,30.75,23.063058853149414,31.359375,37.5625,26.015625,31.34375,29.875,26.6875
19.59375,30.609375,22.89805030822754,31.03125,38.078125,25.8125,31.25,29.140625,25.625
19.75,30.9375,23.304224014282227,30.96875,37.375,25.96875,31.1875,28.9375,26.59375
19.8125,31.421875,23.532697677612305,31.375,38.0,26.140625,31.15625,29.609375,26.90625
19.890625,31.390625,23.672319412231445,31.203125,38.46875,26.046875,31.203125,29.328125,26.9375
20.15625,32.328125,23.888099670410156,31.1875,37.125,26.59375,31.421875,29.28125,27.359375
19.953125,31.78125,23.97694969177246,30.671875,37.375,26.328125,31.125,28.984375,27.0625
19.889999389648438,31.520000457763672,23.99675178527832,30.799999237060547,38.15999984741211,26.110000610351562,31.610000610351562,29.459999084472656,27.600000381469727
20.639999389648438,31.790000915527344,24.20796012878418,31.299999237060547,38.25,26.40999984741211,31.610000610351562,29.399999618530273,27.68000030517578
20.850000381469727,32.130001068115234,23.907392501831055,31.3700008392334,37.29999923706055,26.479999542236328,31.31999969482422,29.219999313354492,28.56999969482422
20.959999084472656,31.719999313354492,23.93988609313965,30.959999084472656,37.279998779296875,26.709999084472656,31.700000762939453,29.610000610351562,28.530000686645508
20.889999389648438,32.25,24.004873275756836,30.860000610351562,35.63999938964844,26.8799991607666,31.350000381469727,29.260000228881836,27.989999771118164
21.079999923706055,32.900001525878906,24.167343139648438,31.010000228881836,35.41999816894531,26.860000610351562,31.579999923706055,29.239999771118164,27.829999923706055
20.899999618530273,33.11000061035156,23.696182250976562,31.15999984741211,35.630001068115234,26.979999542236328,31.770000457763672,29.270000457763672,27.860000610351562
20.899999618530273,33.20000076293945,23.639318466186523,30.889999389648438,34.709999084472656,27.030000686645508,31.780000686645508,29.549999237060547,27.920000076293945
20.6200008392334,33.380001068115234,23.574329376220703,30.850000381469727,34.20000076293945,26.950000762939453,32.060001373291016,29.729999542236328,27.100000381469727
20.600000381469727,33.91999816894531,23.671812057495117,30.1200008392334,32.619998931884766,27.170000076293945,32.02000045776367,29.25,26.75
20.600000381469727,33.470001220703125,24.004873275756836,30.469999313354492,32.900001525878906,27.399999618530273,32.04999923706055,29.489999771118164,27.5
20.540000915527344,33.400001525878906,23.866775512695312,30.790000915527344,32.34000015258789,27.030000686645508,32.31999969482422,29.520000457763672,27.8700008392334
20.309999465942383,33.15999984741211,23.590576171875,30.469999313354492,33.099998474121094,26.780000686645508,31.780000686645508,29.200000762939453,27.600000381469727
21.09000015258789,32.72999954223633,23.590576171875,30.989999771118164,34.099998474121094,26.540000915527344,31.829999923706055,29.31999969482422,27.59000015258789
20.6200008392334,33.02000045776367,23.59869956970215,30.079999923706055,31.989999771118164,26.6299991607666,32.0099983215332,29.190000534057617,27.239999771118164
20.549999237060547,32.83000183105469,22.729488372802734,30.190000534057617,30.270000457763672,26.760000228881836,32.15999984741211,29.15999984741211,27.600000381469727
20.200000762939453,32.61000061035156,22.055240631103516,29.81999969482422,29.5,26.68000030517578,31.780000686645508,29.010000228881836,26.40999984741211
20.350000381469727,32.45000076293945,22.209585189819336,29.540000915527344,29.549999237060547,26.479999542236328,32.119998931884766,28.459999084472656,26.0
20.25,32.040000915527344,22.103981018066406,29.5,29.329999923706055,26.280000686645508,31.940000534057617,28.3799991607666,26.43000030517578
